Variation points, Variation point, Configurations, Defective configs., Real prob. defect. configs., Simulations, Median defect. configs., Mean defect. configs., Std defect. configs., Prob. defect. configs., Combinations, Variant combination, NofFeatures, Configs. combi., Ratio, Defect. configs. combi., Prob. defect. configs. combi., Simulations, Runs, Median defect. configs., Mean defect. configs., Std defect. configs., Prob. defect. configs.
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'ClusteredSession', 'InternationalizationSupport']", 5, 220, 0.0084, 42, 0.1909, 3, 30, 0.0, 0.5667, 0.7739, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'ClusteredSession', 'Docker']", 5, 220, 0.0084, 62, 0.2818, 3, 30, 1.0, 0.7333, 0.7397, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'SpringWebSockets', 'InternationalizationSupport', 'Docker']", 5, 220, 0.0084, 58, 0.2636, 3, 30, 1.0, 0.7, 0.7022, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'Libsass', 'ClusteredSession', 'InternationalizationSupport']", 5, 220, 0.0084, 41, 0.1864, 3, 30, 0.0, 0.4667, 0.5713, 0.0
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'Libsass', 'ClusteredSession', 'Docker']", 5, 220, 0.0084, 60, 0.2727, 3, 30, 1.0, 0.8, 0.7611, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'Libsass', 'InternationalizationSupport', 'Docker']", 5, 220, 0.0084, 59, 0.2682, 3, 30, 1.0, 0.9333, 0.6397, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'Database', 'ClusteredSession', 'InternationalizationSupport', 'Docker']", 5, 220, 0.0084, 61, 0.2773, 3, 30, 1.0, 0.9667, 0.7184, 0.3333
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass', 'ClusteredSession', 'InternationalizationSupport']", 5, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass', 'ClusteredSession', 'Docker']", 5, 0, 0.0, 0, 0, -, -, -, -, -, -
13, JHipster, 26256, 9376, 0.3571, 263, 96.0, 95.3333, 9.5388, 0.365, 128, "['SocialLogin', 'SpringWebSockets', 'Libsass', 'InternationalizationSupport', 'Docker']", 5, 0, 0.0, 0, 0, -, -, -, -, -, -
